n,t_ms,temp_C,pressure_hPa,altitude_m,max_altitude_m,descent_count,teensy_trigger,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,mag_x_uT,mag_y_uT,mag_z_uT,humidity_pct,sound_db,pitch_deg,roll_deg,heading_deg,t_s,dt_s,pitch_logged_deg,roll_logged_deg,pressure_ref_hpa,altitude_baro_m,altitude_logged_m,a_lin_ms2,altitude_fused_m,v_fused_ms,v_baro_ms,a_baro_ms2,pos_x_m,pos_y_m,pos_z_m,yaw_deg
84,52658,32.53,951.49,-0.99,0.12,0,0,-0.0302,-0.0857,0.9911,-0.24,0.18,-0.18,121,106,38,,,1.7388,-4.942,318.3584,41.981,0.5,1.7388,-4.942,951.34,-1.1526599090579737,-0.85,0.05646436603238761,-1.1526599090579737,-0.061115500131995563,0.0,0.7093088010178583,0.0,0.0,-1.1526599090579737,318.3584
85,53158,32.55,951.43,-0.38,0.12,0,0,-0.0305,-0.0858,0.9906,-0.18,0.12,-0.18,121,105,36,,,1.757,-4.9503,318.6543,42.481,0.5,1.757,-4.9503,951.34,-0.6206788742610403,-0.24,0.05132853756813932,-0.6206788742610403,0.005919718925054558,0.08866161947101547,0.0,0.0,0.0,-0.6206788742610403,318.6543
86,53658,32.58,951.48,-0.87,0.12,0,0,-0.0305,-0.0852,0.9911,-0.24,0.18,-0.12,120,103,31,,,1.7562,-4.9134,319.0353,42.981,0.5,1.7562,-4.9134,951.34,-1.0639982895869582,-0.73,0.056040750395954284,-1.0639982895869582,0.022626729415354468,0.0,0.08866388303171657,0.0,0.0,-1.0639982895869582,319.0353
87,54158,32.58,951.43,-0.42,0.12,0,0,-0.0303,-0.0858,0.9911,-0.31,0.18,-0.18,122,105,33,,,1.7446,-4.9478,318.9321,43.481,0.5,1.7446,-4.9478,951.34,-0.6206788742610403,-0.27999999999999997,0.05640003560819187,-0.6206788742610403,0.09299299898054428,0.17732550250273205,-0.35465704133138765,0.0,0.0,-0.6206788742610403,318.9321
88,54658,32.59,951.46,-0.67,0.12,0,0,-0.0303,-0.0839,0.9908,-0.24,0.18,-0.24,122,105,35,,,1.7454,-4.840200000000001,318.9117,43.981,0.5,1.7454,-4.8402,951.34,-0.8866727870842261,-0.53,0.05292898125632828,-0.8866727870842261,-0.038580687371323585,-0.35465704133138765,-0.088661619451329,0.0,0.0,-0.8866727870842261,318.9117
89,55158,32.62,951.47,-0.78,0.12,0,0,-0.0305,-0.0857,0.9911,-0.18,0.18,-0.24,120,106,34,,,1.7561,-4.942,318.1886,44.481,0.5,1.7561,-4.942,951.34,-0.9753359155924279,-0.64,0.05618434013784793,-0.9753359155924279,0.0225622828155346,0.08866388305140305,0.7979802294126848,0.0,0.0,-0.9753359155924279,318.1886
90,55658,32.58,951.45,-0.55,0.12,0,0,-0.0302,-0.085,0.9907,-0.24,0.12,-0.18,122,108,33,,,1.7396,-4.9038,318.153,44.981,0.5,1.7396,-4.9038,951.34,-0.7980089040328231,-0.41000000000000003,0.0523558752715447,-0.7980089040328231,0.1802678763279703,0.4433231880812971,7.545432012534548e-07,0.0,0.0,-0.7980089040328231,318.153
91,56158,32.59,951.42,-0.37,0.12,0,0,-0.0309,-0.0847,0.9922,-0.18,0.18,-0.24,120,105,35,,,1.7773,-4.8793,318.4464,45.481,0.5,1.7773,-4.8793,951.34,-0.5320127275111308,-0.22999999999999998,0.06626993754977513,-0.5320127275111308,0.17182344260010668,0.0886646375946043,-0.6206547270083851,0.0,0.0,-0.5320127275111308,318.4464
92,56658,32.62,951.44,-0.49,0.12,0,0,-0.0304,-0.0859,0.9907,-0.18,0.18,-0.24,122,108,30,,,1.751,-4.9555,318.196,45.981,0.5,1.751,-4.9555,951.34,-0.7093442664382188,-0.35,0.05242790811464382,-0.7093442664382188,0.07291441812925642,-0.17733153892708797,-0.35465289139791856,0.0,0.0,-0.7093442664382188,318.196
93,57158,32.64,951.44,-0.53,0.12,0,0,-0.0309,-0.0853,0.9913,-0.24,0.12,-0.24,121,105,31,,,1.7788,-4.9181,318.7391,46.481,0.5,1.7788,-4.9181,951.34,-0.7093442664382188,-0.39,0.057647880142892904,-0.7093442664382188,-0.0208371791339695,-0.26598825380331426,2.263676359137712e-06,0.0,0.0,-0.7093442664382188,318.7391
96,58658,32.71,951.5,-1.02,0.12,0,0,-0.0309,-0.0851,0.9902,-0.31,0.12,-0.31,122,107,33,,,1.7808,-4.9121,318.4178,47.981,1.5,1.7808,-4.9121,951.34,-1.2413207740448473,-0.88,0.04684391108342924,-1.2413207740448473,-0.08662473194815205,-0.1773270115743697,0.35465006190766923,0.0,0.0,-1.2413207740448473,318.4178
97,59158,32.71,951.48,-0.89,0.12,0,0,-0.0303,-0.0848,0.9911,-0.24,0.18,-0.24,121,105,37,,,1.7447,-4.8904,318.6431,48.481,0.5,1.7447,-4.8904,951.34,-1.0639982895869582,-0.75,0.05611359882611508,-1.0639982895869582,0.10872533498061171,0.4433118700120242,0.26598938556889995,0.0,0.0,-1.0639982895869582,318.6431
